iter	RMSE
161	0.19857894
162	0.1983322787
163	0.1983143839
164	0.1981303892
165	0.1980134684
166	0.1979957608
167	0.1975739955
168	0.1973845717
169	0.1973698741
170	0.1973247592
171	0.1972055225
172	0.1971521626
173	0.1970069129
174	0.1968783216
175	0.1968306357
176	0.1967780175
177	0.1965867405
178	0.1965636223
179	0.196554886
180	0.1963741979
181	0.1962951533
182	0.1962760143
183	0.1958061909
184	0.1956630892
185	0.1954709129
186	0.1954182626
187	0.195391293
188	0.1953333259
189	0.1953246761
190	0.1952986423
191	0.1952171929
192	0.1951946634
193	0.1951913918
194	0.1950604178
195	0.1947902323
196	0.1947103261
197	0.194668208
198	0.1946631324
199	0.1945582172
200	0.1943079256
201	0.1941813202
202	0.1941615471
203	0.1938765121
204	0.1938232842
205	0.193730497
206	0.1936822225
207	0.193612076
208	0.1934546324
209	0.193416147
210	0.1934012358
211	0.1933513098
212	0.1933473865
213	0.1932552647
214	0.1932455289
215	0.1932123265
216	0.1931402416
217	0.1931049955
218	0.1928833245
219	0.192617355
220	0.1925740138
221	0.1925720728
222	0.1925214565
223	0.1921616864
224	0.1921221887
225	0.1920255165
226	0.1918679287
227	0.191864914
228	0.1917949406
229	0.1917904676
230	0.1916536251
231	0.1914230822
232	0.1914227531
233	0.191414526
234	0.1914109055
235	0.1912365991
236	0.1912278487
237	0.1912227558
238	0.1912036168
239	0.1912014317
240	0.1911905852
241	0.1908567168
242	0.1908230755
243	0.1908217996
244	0.1908130346
245	0.1907426205
246	0.1907400961
247	0.1907043963
248	0.1906824925
249	0.1905401347
250	0.1905257076
251	0.1902972939
252	0.1899379445
253	0.1899312215
254	0.1899303065
255	0.1898357602
256	0.1897819766
257	0.1897308064
258	0.189589414
259	0.1893370548
260	0.1893289085
261	0.1891831296
262	0.189182393
263	0.1890213503
264	0.1889938382
265	0.1887717509
266	0.1887599988
267	0.188759875
268	0.1887592935
269	0.1887591837
270	0.188578446
271	0.1885725913
272	0.1885712785
273	0.1885399206
274	0.1885392574
275	0.1884885707
276	0.1884760145
277	0.1882510592
278	0.1881562432
279	0.1881471916
280	0.1881460816
281	0.1881456683
282	0.1880226318
283	0.1879800212
284	0.1879660397
285	0.1878740341
286	0.1878736986
287	0.1878674832
288	0.1878607112
289	0.1875366677
290	0.1875363599
291	0.1874912042
292	0.1874909112
293	0.187429372
294	0.1873890452
295	0.1873845861
296	0.1873730645
297	0.1873282021
298	0.1869447799
299	0.1865469501
300	0.1865421965
301	0.1863103707
302	0.1861544021
303	0.1860034816
304	0.1856149813
305	0.1856135401
306	0.1856118813
307	0.1855978215
308	0.185594078
309	0.1855887731
310	0.1855531516
311	0.1855530345
312	0.1855429571
313	0.185541087
314	0.1855410735
315	0.1854206067
316	0.1854189935
317	0.1854188858
318	0.1852504086
319	0.1850875572
320	0.1850823308
321	0.1850162488
322	0.1849703382
323	0.184970255
324	0.1849701792
325	0.1847326617
326	0.1847271261
327	0.184725599
328	0.184525397
329	0.1845215143
330	0.1845018339
331	0.1844993682
332	0.1844469975
333	0.1843264714
334	0.1842673834
335	0.1840372756
336	0.1840318447
337	0.1834568794
338	0.1834362097
339	0.1834361815
340	0.1830711005
341	0.1830491671
342	0.1830490688
343	0.182979069
344	0.1829789669
345	0.1829789485
346	0.1829784408
347	0.1824402181
348	0.1824401779
349	0.182396732
350	0.1823894806
351	0.1821456563
352	0.1821456407
353	0.1819687838
354	0.1817885389
355	0.1811083219
356	0.181061211
357	0.1810611743
358	0.1809541375
359	0.1809540366
360	0.1809534167
361	0.1805378981
362	0.1804839723
363	0.1804839448
364	0.1804775982
365	0.1804775535
366	0.1804470201
367	0.1804266469
368	0.180395615
369	0.1802899801
370	0.1801913846
371	0.1801913625
372	0.1801577127
373	0.180083548
374	0.1800835294
375	0.1800825098
376	0.1800462976
377	0.1800415046
378	0.1800413531
379	0.1797674784
380	0.1797621218
381	0.1796721506
382	0.1796720581
383	0.1796704651
384	0.1794049885
385	0.1794038521
386	0.1794038391
387	0.1794038269
388	0.1794037372
389	0.1794036559
390	0.1791381617
391	0.1791331557
392	0.1791289601
393	0.1788747269
394	0.1787021199
395	0.17854987
396	0.1785256493
397	0.1785232287
398	0.1781679191
399	0.1781667286
400	0.1781656908
401	0.1781422704
402	0.1781416678
403	0.1780402795
404	0.1780371256
405	0.1780336486
406	0.1780336473
407	0.1771625672
408	0.1771607848
409	0.177160776
410	0.1768818191
411	0.1768715921
412	0.1768715875
413	0.17685452
414	0.1768545161
415	0.1768509718
416	0.1768500736
417	0.1768500172
418	0.1768491692
419	0.176789608
420	0.1767895559
421	0.1767887461
422	0.1767887359
423	0.17678637
424	0.1767853265
425	0.1767823009
426	0.1767380809
427	0.1766474655
428	0.1765802757
429	0.1762276806
430	0.1762271416
431	0.1762187951
432	0.1762180018
433	0.1761942575
434	0.1761941683
435	0.1761940831
436	0.1759254827
437	0.1759215143
438	0.1754405573
439	0.1754337504
440	0.1754325776
441	0.1749657787
442	0.1749561753
443	0.1749559649
444	0.1749558088
445	0.1749521687
446	0.1745445176
447	0.174544353
448	0.1745442863
449	0.1745426804
450	0.1745416299
451	0.1745273919
452	0.1744199768
453	0.1744040458
454	0.1744039785
455	0.1744033833
456	0.1740106003
457	0.173980552
458	0.1737884703
459	0.173782643
460	0.1737086278
461	0.1735970905
462	0.1733290519
463	0.1733192903
464	0.1733185603
465	0.1731424028
466	0.1722349532
467	0.1722341659
468	0.1722230138
469	0.172116725
470	0.1718344639
471	0.1718288136
472	0.1718216046
473	0.1718214649
474	0.1716510045
475	0.1716492186
476	0.171637086
477	0.1716369073
478	0.1716364477
479	0.1716364261
480	0.1716360224
481	0.1716180246
482	0.1716123356
483	0.1715388909
484	0.1714929759
485	0.1714928328
486	0.1714808508
487	0.1714530075
488	0.1714529915
489	0.1714524244
490	0.1714523685
491	0.1714520987
492	0.1712133831
493	0.1710057153
494	0.1709968811
495	0.1709963702
496	0.1709532481
497	0.1706400798
498	0.1705692002
499	0.1705690268
